IIN	Type	Name	Length
371474	Amex	AMEX	15
371475	Amex	AMEX	15
371476	Amex	AMEX	15
371477	Amex	AMEX	15
371478	Amex	AMEX	15
371479	Amex	AMEX	15
371480	Amex	AMEX	15
371481	Amex	AMEX	15
371482	Amex	AMEX	15
371483	Amex	AMEX	15
371484	Amex	AMEX	15
371485	Amex	AMEX	15
371486	Amex	AMEX	15
371487	Amex	AMEX	15
371488	Amex	AMEX	15
371489	Amex	AMEX	15
371490	Amex	AMEX	15
371491	Amex	AMEX	15
371492	Amex	AMEX	15
371493	Amex	AMEX	15
371494	Amex	AMEX	15
371495	Amex	AMEX	15
371496	Amex	AMEX	15
371497	Amex	AMEX	15
371498	Amex	AMEX	15
371499	Amex	AMEX	15
371500	Amex	CENTURION	15
371501	Amex	CENTURION	15
371502	Amex	CENTURION	15
371503	Amex	CENTURION	15
371504	Amex	CENTURION	15
371505	Amex	CENTURION	15
371506	Amex	CENTURION	15
371507	Amex	CENTURION	15
371508	Amex	CENTURION	15
371509	Amex	CENTURION	15
371510	Amex	CENTURION	15
371511	Amex	CENTURION	15
371512	Amex	CENTURION	15
371513	Amex	CENTURION	15
371514	Amex	CENTURION	15
371515	Amex	CENTURION	15
371516	Amex	CENTURION	15
371517	Amex	CENTURION	15
371518	Amex	CENTURION	15
371519	Amex	CENTURION	15
371520	Amex	CENTURION	15
371521	Amex	CENTURION	15
371522	Amex	CENTURION	15
371523	Amex	CENTURION	15
371524	Amex	CENTURION	15
371525	Amex	CENTURION	15
371526	Amex	CENTURION	15
371527	Amex	CENTURION	15
371528	Amex	CENTURION	15
371529	Amex	CENTURION	15
371530	Amex	CENTURION	15
371531	Amex	CENTURION	15
371532	Amex	CENTURION	15
371533	Amex	CENTURION	15
371534	Amex	CENTURION	15
371535	Amex	CENTURION	15
371536	Amex	CENTURION	15
371537	Amex	CENTURION	15
371538	Amex	CENTURION	15
371539	Amex	CENTURION	15
371540	Amex	CENTURION	15
371541	Amex	CENTURION	15
371542	Amex	CENTURION	15
371543	Amex	CENTURION	15
371544	Amex	CENTURION	15
371545	Amex	CENTURION	15
371546	Amex	CENTURION	15
371547	Amex	CENTURION	15
371548	Amex	CENTURION	15
371549	Amex	CENTURION	15
371550	Amex	CENTURION	15
371551	Amex	CENTURION	15
371552	Amex	CENTURION	15
371553	Amex	CENTURION	15
371554	Amex	CENTURION	15
371555	Amex	CENTURION	15
371556	Amex	CENTURION	15
371557	Amex	CENTURION	15
